1,1,1,1
424,112,461,148
0.1,0.1,0.4,0.4
0,0,2,2
9,9,39,39
14,14,13,13
12,12,42,42
1,1,1,1
110,422,461,149
0.07,0.07,0.43,0.43
0,0,2,2
7,7,40,40
12,12,13,13
14,14,43,43
1,1,1,1
110,422,462,150
0.08,0.08,0.42,0.42
0,0,2,2
6,6,42,42
12,12,13,13
8,8,44,44
1,1,1,1
108,420,464,152
0.07,0.07,0.43,0.43
0,0,2,2
5,5,44,44
12,12,13,13
7,7,46,46
2,2,2,2
29,19,43,0
